idx*act*icon_color*activity_id*keep*mime_type*mtime*preview*share_scope*timestamp*title*title_set_by_user*uid
10*org.laptop.WikipediaActivityEN*#FF2B34,#FF8F00*b61d59836099cb30692d45bc235b4745c30bfe59*0*text/plain*2013-07-30T01:40:53.421140*NA*private*1375148453*Computer*0*589c1c15-dab4-404d-ad52-d68a1bf32fb4
11*org.laptop.TamTamJam*#00EA11,#5E008C*3e073b4dee619841cbab6858aa2990d46f757f32*0*NA*2011-09-03T19:48:41.774045*NA*private*1315104521*TamTamJam Activity*1*6e3ba7da-9e0a-4d22-8066-469170c30ac7
12*org.laptop.Terminal*#00EA11,#5E008C*63e2dfaee367d39f7b9f16e0ff1df2b40f1d4b9b*0*NA*2013-08-05T23:14:33.791426*NA*private*1375758873*Terminal Activity*0*f018994e-1fdf-4a60-8ad7-f4797a4263d7
13*org.laptop.physics*#00A0FF,#9A5200*1d696c1f94958cdd92ca0d204734d4dd72fb3dbf*0*application/x-physics-activity*2013-07-14T18:07:18.568478*NA*private*1373825238*Physics Activity*0*15ca013f-4029-4cda-93ed-add7db8b1f0e
14*org.laptop.TurtleArtActivity*#00EA11,#5E008C*b1601ed090cc81bbb123bd7dc255437970e627ef*0*application/x-turtle-art*2011-09-03T19:38:20.959369*NA*private*1315103900*Turtle Art Activity*0*38864b85-91fb-4776-8483-493a280aed9d
15*org.eq.FotoToon*#00EA11,#5E008C*dd829396720bc187baada73a3fcf4d3073f6625c*0*application/x-fototoon-activity*2013-08-05T23:08:02.155460*NA*private*1375758482*FotoToon Activity*1*21a4b231-2922-4da4-81cf-fa3482f054d0
16*vu.lux.olpc.Speak*#FF8F00,#BE9E00*f55d3eff29c1722cbb87191892f82ee00515cfe3*0*NA*2013-08-04T03:54:36.411328*NA*private*1375588476*Speak Activity*1*92d375e1-704b-4255-8850-00533aa3204e
17*org.laptop.physics*#AC32FF,#FF8F00*138bd2fdec271d21df3cccd9f046015a7f761c15*0*application/x-physics-activity*2013-08-02T01:15:23.977779*NA*private*1375406123*Physics Activity*0*1e3763c8-6c51-4876-b55b-b2244ee8c803
18*com.laptop.Ruler*#AC32FF,#FF8F00*db611042d23640cb64d6ac27c757536f8462cc6f*0*NA*2013-07-29T00:44:17.154698*NA*private*1375058657*Ruler Activity*0*a44afb83-cb34-44a2-8e52-a4d6ebb6c2dc
19*org.laptop.Terminal*#00A0FF,#9A5200*08feeeea2bca2a2b577e4df0e052e5ae555add84*0*NA*2013-07-14T22:20:03.810496*NA*private*1373840403*Terminal Activity*0*b81f8d3a-ac8e-417f-9054-6c2ac6d3f0e2
